date,OT
2025-01-01 00:00:00,237644132.20018464
2025-01-01 00:00:01,236802718.07137728
2025-01-01 00:00:02,238421313.36471623
2025-01-01 00:00:03,237503810.20272782
2025-01-01 00:00:04,238103008.2191882
2025-01-01 00:00:05,227961983.3434376
2025-01-01 00:00:06,232184505.80918625
2025-01-01 00:00:07,233774510.54845494
2025-01-01 00:00:08,235194070.88894594
2025-01-01 00:00:09,230606415.379441
2025-01-01 00:00:10,231928594.02992496
2025-01-01 00:00:11,239919635.59443417
2025-01-01 00:00:12,241507888.33308542
2025-01-01 00:00:13,236385307.0127197
2025-01-01 00:00:14,238045180.82662877
2025-01-01 00:00:15,235817545.39283532
2025-01-01 00:00:16,236974222.90742838
2025-01-01 00:00:17,231262547.28658807
2025-01-01 00:00:18,235447722.7962466
2025-01-01 00:00:19,237772757.42971534
2025-01-01 00:00:20,241150969.0957365
2025-01-01 00:00:21,239593340.92195138
2025-01-01 00:00:22,239218228.01263168
2025-01-01 00:00:23,236519738.28140944
2025-01-01 00:00:24,237029363.4957993
2025-01-01 00:00:25,235145590.2008164
2025-01-01 00:00:26,231493435.36476418
2025-01-01 00:00:27,238303271.7641488
2025-01-01 00:00:28,233668670.68871972
2025-01-01 00:00:29,235602297.43781444
2025-01-01 00:00:30,238981576.51205763
2025-01-01 00:00:31,240683848.73988175
2025-01-01 00:00:32,242549687.084177
2025-01-01 00:00:33,248969321.24557543
2025-01-01 00:00:34,243374031.9974964
2025-01-01 00:00:35,241609849.2429341
2025-01-01 00:00:36,239768740.6929817
2025-01-01 00:00:37,236946348.18454814
2025-01-01 00:00:38,234839011.31516045
2025-01-01 00:00:39,233875101.34806046
2025-01-01 00:00:40,239152789.2991263
2025-01-01 00:00:41,238202448.2499296
2025-01-01 00:00:42,239547596.13774797
2025-01-01 00:00:43,242489452.37430048
2025-01-01 00:00:44,240449245.00086233
2025-01-01 00:00:45,233609328.0141782
2025-01-01 00:00:46,231459239.18569288
2025-01-01 00:00:47,235732053.757407
2025-01-01 00:00:48,234871251.51651725
2025-01-01 00:00:49,236425401.2733313
2025-01-01 00:00:50,234249759.93935397
2025-01-01 00:00:51,234157433.19746503
2025-01-01 00:00:52,235343671.98879722
2025-01-01 00:00:53,241103171.81713653
2025-01-01 00:00:54,241200058.4278237
2025-01-01 00:00:55,232613534.49568856
2025-01-01 00:00:56,230505932.07127422
2025-01-01 00:00:57,234216761.98710918
2025-01-01 00:00:58,229565983.88348043
2025-01-01 00:00:59,230519730.91638064
2025-01-01 00:01:00,230854084.19157004
2025-01-01 00:01:01,227283877.67123547
2025-01-01 00:01:02,230491903.39450383
2025-01-01 00:01:03,234742780.92715
2025-01-01 00:01:04,232693033.42053667
2025-01-01 00:01:05,229549358.36120257
2025-01-01 00:01:06,232934272.48289958
2025-01-01 00:01:07,232449136.5998776
2025-01-01 00:01:08,232465159.74219033
2025-01-01 00:01:09,232157644.60844225
2025-01-01 00:01:10,234682200.60583052
2025-01-01 00:01:11,236720472.2956385
2025-01-01 00:01:12,233404289.54160967
2025-01-01 00:01:13,228719336.79195935
2025-01-01 00:01:14,234976880.6000937
2025-01-01 00:01:15,244727647.30324128
2025-01-01 00:01:16,238826338.83604518
2025-01-01 00:01:17,242064493.775586
2025-01-01 00:01:18,245854289.1128771
2025-01-01 00:01:19,241004984.45994237
2025-01-01 00:01:20,245477836.02828366
2025-01-01 00:01:21,241894044.03003782
2025-01-01 00:01:22,239381650.04929736
2025-01-01 00:01:23,237033636.8474251
2025-01-01 00:01:24,239551835.12489974
2025-01-01 00:01:25,238518638.80928898
2025-01-01 00:01:26,242914445.23458007
2025-01-01 00:01:27,242766904.18490484
2025-01-01 00:01:28,239158655.33514392
2025-01-01 00:01:29,242015018.5047685
2025-01-01 00:01:30,240660185.28532952
2025-01-01 00:01:31,242553752.21709988
2025-01-01 00:01:32,242724743.64307162
2025-01-01 00:01:33,246784734.9772666
2025-01-01 00:01:34,244204298.48984936
2025-01-01 00:01:35,240955951.80347693
2025-01-01 00:01:36,240878018.02122372
2025-01-01 00:01:37,242135361.19700274
2025-01-01 00:01:38,240482605.67956474
2025-01-01 00:01:39,237535913.48507404
2025-01-01 00:01:40,234790315.93325529
2025-01-01 00:01:41,237639109.2335975
2025-01-01 00:01:42,239249890.0256838
2025-01-01 00:01:43,240152359.25491044
2025-01-01 00:01:44,238151784.56262094
2025-01-01 00:01:45,235670561.54672354
2025-01-01 00:01:46,236930162.03735083
2025-01-01 00:01:47,242461433.5499696
2025-01-01 00:01:48,244434769.55082923
2025-01-01 00:01:49,244730390.3290218
2025-01-01 00:01:50,249049411.7425587
2025-01-01 00:01:51,243884990.34293994
2025-01-01 00:01:52,239539308.19642925
2025-01-01 00:01:53,241609081.78340065
2025-01-01 00:01:54,233089438.7537875
2025-01-01 00:01:55,235062535.282525
2025-01-01 00:01:56,234877443.81036896
2025-01-01 00:01:57,238997545.4616947
2025-01-01 00:01:58,239966880.73777676
2025-01-01 00:01:59,239914874.2547248
2025-01-01 00:02:00,235026806.31126982
2025-01-01 00:02:01,232976620.1726505
2025-01-01 00:02:02,230066054.28628808
2025-01-01 00:02:03,232797932.02934405
2025-01-01 00:02:04,238624220.69111273
2025-01-01 00:02:05,237146644.32563257
2025-01-01 00:02:06,233386534.1062865
2025-01-01 00:02:07,236549484.9444981
2025-01-01 00:02:08,232760209.6758252
2025-01-01 00:02:09,235342891.12982795
2025-01-01 00:02:10,234750192.21749067
2025-01-01 00:02:11,234845970.20620948
2025-01-01 00:02:12,230977384.33677295
2025-01-01 00:02:13,232779334.8378254
2025-01-01 00:02:14,234435160.31778744
2025-01-01 00:02:15,242585740.12250215
2025-01-01 00:02:16,237904017.28082332
2025-01-01 00:02:17,235190980.59315804
2025-01-01 00:02:18,233171132.9999132
2025-01-01 00:02:19,229231021.09647572
2025-01-01 00:02:20,234315300.88031018
2025-01-01 00:02:21,231867099.23106712
2025-01-01 00:02:22,234060606.65293795
2025-01-01 00:02:23,236570211.72973275
2025-01-01 00:02:24,232899403.21915066
2025-01-01 00:02:25,232732795.18078533
2025-01-01 00:02:26,235188587.35969576
2025-01-01 00:02:27,236525544.2422115
2025-01-01 00:02:28,233820471.8226944
2025-01-01 00:02:29,237946007.0407003
2025-01-01 00:02:30,236178550.81542295
